threshold,clf_acc,baseline_R@1,fullrerank_R@1,adaptive_R@1,hard_rate,savings_vs_fullrerank
0.05,0.8800512948830227,0.8784561491304892,0.898035781308645,0.8779869886150382,0.005410984611535093,0.9448595646190416
0.15,0.913955961466283,0.8784561491304892,0.898035781308645,0.8893406730889528,0.11431877893156511,0.8413971600150132
0.25,0.9132365820092581,0.8784561491304892,0.898035781308645,0.8938133366695858,0.16120355310897036,0.7968566245464782
0.35,0.9069185537345177,0.8784561491304892,0.898035781308645,0.896159139246841,0.18428625046916053,0.7749280620542975
0.45,0.8974102339547104,0.8784561491304892,0.898035781308645,0.8971912923808333,0.2030526710872013,0.7570999624671588
0.55,0.8911234830476668,0.8784561491304892,0.898035781308645,0.8977855623670712,0.215344676592018,0.7454225572375829
0.65,0.8791442512198173,0.8784561491304892,0.898035781308645,0.8980670586763418,0.23207806830977104,0.7295258351057174
0.75,0.8680095083197799,0.8784561491304892,0.898035781308645,0.8984111097210059,0.24590266483172776,0.7163924684098586
0.85,0.8483673214062305,0.8784561491304892,0.898035781308645,0.8987238833979733,0.2676717127486551,0.6957118728887777
0.95,0.8142124358813962,0.8784561491304892,0.898035781308645,0.898630051294883,0.30364068559989993,0.6615413486800951
